Size of the array, Time taken
35400, 0.004641
35500, 0.004405
35600, 0.004674
35700, 0.004735
35800, 0.004959
35900, 0.004284
36000, 0.003962
36100, 0.003503
36200, 0.00477
36300, 0.004484
36400, 0.00488
36500, 0.004198
36600, 0.004839
36700, 0.005121
36800, 0.005209
36900, 0.004253
37000, 0.004478
37100, 0.004659
37200, 0.004844
37300, 0.004852
37400, 0.004545
37500, 0.004867
37600, 0.004865
37700, 0.004968
37800, 0.004968
37900, 0.004656
38000, 0.004556
38100, 0.004759
38200, 0.005334
38300, 0.005196
38400, 0.005099
38500, 0.004929
38600, 0.004878
38700, 0.005188
38800, 0.005054
38900, 0.005199
39000, 0.004598
39100, 0.004766
39200, 0.004803
39300, 0.005112
39400, 0.005048
39500, 0.004286
39600, 0.005179
39700, 0.005326
39800, 0.00525
39900, 0.005528
40000, 0.004741
40100, 0.00507
40200, 0.004891
40300, 0.005443
40400, 0.00545
40500, 0.004936
40600, 0.005524
40700, 0.005517
40800, 0.005207
40900, 0.005515
41000, 0.004897
41100, 0.004921
41200, 0.005086
41300, 0.005069
41400, 0.004105
41500, 0.003526
41600, 0.004548
41700, 0.003863
41800, 0.004507
41900, 0.004023
42000, 0.004207
42100, 0.003754
42200, 0.003976
42300, 0.003971
42400, 0.004896
42500, 0.004949
42600, 0.005671
42700, 0.005683
42800, 0.005666
42900, 0.005651
43000, 0.006148
43100, 0.005041
43200, 0.005491
43300, 0.005605
43400, 0.005613
43500, 0.005784
43600, 0.005595
43700, 0.005785
43800, 0.00604
43900, 0.0061
44000, 0.006295
44100, 0.00522
44200, 0.005545
44300, 0.005775
44400, 0.005661
44500, 0.005889
44600, 0.004479
44700, 0.004323
44800, 0.004808
44900, 0.004447
45000, 0.005478
45100, 0.00495
45200, 0.005049
45300, 0.005576
45400, 0.005811
45500, 0.005722
45600, 0.005519
45700, 0.005658
45800, 0.005887
45900, 0.006036
46000, 0.006154
46100, 0.005211
46200, 0.005606
46300, 0.005897
46400, 0.005771
46500, 0.006207
46600, 0.005452
46700, 0.005811
46800, 0.006475
46900, 0.006179
47000, 0.005971
47100, 0.006428
47200, 0.005647
47300, 0.005981
47400, 0.006096
47500, 0.006273
47600, 0.006259
47700, 0.00577
47800, 0.006229
47900, 0.006357
48000, 0.006471
48100, 0.006858
48200, 0.006036
48300, 0.006231
48400, 0.005857
48500, 0.006177
48600, 0.007623
48700, 0.006567
48800, 0.006297
48900, 0.006763
49000, 0.005379
49100, 0.006284
49200, 0.00515
49300, 0.004469
49400, 0.005199
49500, 0.004466
49600, 0.005706
49700, 0.004579
49800, 0.005568
49900, 0.004946
50000, 0.005645
50100, 0.005708
50200, 0.004459
50300, 0.005546
50400, 0.005349
50500, 0.005658
50600, 0.005021
50700, 0.005075
50800, 0.005453
50900, 0.0059
51000, 0.006896
51100, 0.006449
51200, 0.006633
51300, 0.006083
51400, 0.005666
51500, 0.007958
51600, 0.007258
51700, 0.007811
51800, 0.007982
51900, 0.006563
52000, 0.007862
52100, 0.007999
52200, 0.007823
52300, 0.007349
52400, 0.007656
52500, 0.005772
52600, 0.005639
52700, 0.006868
52800, 0.007578
52900, 0.006858
53000, 0.006365
53100, 0.006916
53200, 0.007766
53300, 0.006063
53400, 0.00632
53500, 0.005498
53600, 0.005749
53700, 0.006679
53800, 0.008026
53900, 0.007013
54000, 0.006653
54100, 0.007893
54200, 0.008311
54300, 0.006537
54400, 0.004838
54500, 0.005866
54600, 0.005293
54700, 0.005892
54800, 0.005707
54900, 0.005976
55000, 0.005009
55100, 0.005723
55200, 0.00596
55300, 0.004772
55400, 0.004893
55500, 0.005087
55600, 0.005812
55700, 0.006808
55800, 0.006841
55900, 0.006725
56000, 0.007847
56100, 0.007413
56200, 0.008124
56300, 0.007767
56400, 0.007226
56500, 0.006502
56600, 0.007454
56700, 0.006617
56800, 0.007689
56900, 0.007295
