Size of the array, Time taken
35100, 0.001883
35200, 0.001848
35300, 0.001835
35400, 0.001838
35500, 0.001839
35600, 0.001849
35700, 0.001849
35800, 0.001855
35900, 0.001858
36000, 0.001864
36100, 0.001973
36200, 0.001882
36300, 0.001877
36400, 0.001883
36500, 0.00189
36600, 0.001896
36700, 0.001897
36800, 0.001916
36900, 0.001906
37000, 0.001931
37100, 0.001921
37200, 0.001924
37300, 0.001929
37400, 0.00194
37500, 0.001943
37600, 0.001954
37700, 0.002016
37800, 0.001987
37900, 0.001975
38000, 0.001979
38100, 0.001981
38200, 0.001982
38300, 0.001989
38400, 0.001993
38500, 0.001998
38600, 0.00201
38700, 0.002017
38800, 0.002013
38900, 0.002019
39000, 0.002027
39100, 0.00204
39200, 0.002048
39300, 0.002312
39400, 0.002572
39500, 0.002133
39600, 0.002065
39700, 0.002068
39800, 0.002083
39900, 0.002084
40000, 0.002111
40100, 0.00214
40200, 0.002322
40300, 0.002082
40400, 0.002373
40500, 0.002158
40600, 0.002112
40700, 0.002122
40800, 0.002148
40900, 0.002239
41000, 0.002294
41100, 0.002139
41200, 0.00214
41300, 0.002143
41400, 0.002163
41500, 0.002225
41600, 0.002183
41700, 0.002271
41800, 0.002186
41900, 0.002181
42000, 0.002461
42100, 0.002205
42200, 0.002229
42300, 0.002253
42400, 0.002452
42500, 0.002449
42600, 0.002206
42700, 0.002209
42800, 0.002215
42900, 0.002233
43000, 0.002295
43100, 0.002447
43200, 0.002246
43300, 0.00224
43400, 0.002281
43500, 0.002254
43600, 0.002259
43700, 0.00232
43800, 0.002273
43900, 0.002311
44000, 0.00228
44100, 0.002294
44200, 0.00229
44300, 0.002309
44400, 0.002302
44500, 0.00237
44600, 0.002339
44700, 0.002318
44800, 0.002323
44900, 0.002332
45000, 0.002333
45100, 0.002351
45200, 0.002347
45300, 0.002451
45400, 0.002369
45500, 0.002363
45600, 0.002368
45700, 0.002379
45800, 0.002398
45900, 0.002397
46000, 0.002427
46100, 0.002406
46200, 0.002413
46300, 0.002414
46400, 0.002422
46500, 0.002426
46600, 0.002493
46700, 0.002456
46800, 0.00246
46900, 0.002448
47000, 0.002455
47100, 0.002464
47200, 0.002472
47300, 0.002502
47400, 0.002485
47500, 0.002486
47600, 0.002509
47700, 0.0025
47800, 0.002515
47900, 0.002548
48000, 0.002829
48100, 0.002539
48200, 0.002528
48300, 0.002534
48400, 0.002583
48500, 0.002614
48600, 0.002838
48700, 0.002563
48800, 0.002592
48900, 0.002623
49000, 0.002577
49100, 0.002649
49200, 0.002909
49300, 0.002933
49400, 0.002605
49500, 0.002605
49600, 0.002619
49700, 0.002976
49800, 0.002815
49900, 0.00264
50000, 0.002633
50100, 0.00299
50200, 0.002651
50300, 0.002686
50400, 0.003016
50500, 0.003038
50600, 0.002673
50700, 0.002732
50800, 0.002684
