Size of the array, Time taken
35400, 0.004775
35500, 0.004773
35600, 0.005521
35700, 0.005078
35800, 0.005106
35900, 0.005574
36000, 0.005046
36100, 0.005475
36200, 0.004924
36300, 0.004637
36400, 0.005374
36500, 0.004711
36600, 0.005511
36700, 0.005024
36800, 0.005542
36900, 0.005543
37000, 0.005425
37100, 0.005364
37200, 0.004724
37300, 0.005165
37400, 0.005317
37500, 0.00561
37600, 0.005941
37700, 0.005928
37800, 0.005221
37900, 0.005711
38000, 0.005291
38100, 0.005907
38200, 0.005744
38300, 0.005642
38400, 0.005603
38500, 0.005575
38600, 0.005515
38700, 0.005901
38800, 0.005499
38900, 0.005736
39000, 0.005516
39100, 0.00557
39200, 0.005308
39300, 0.005287
39400, 0.005486
39500, 0.005722
39600, 0.005591
39700, 0.005675
39800, 0.005665
39900, 0.005725
40000, 0.005593
40100, 0.005366
40200, 0.005437
40300, 0.005778
40400, 0.005493
40500, 0.005757
40600, 0.006115
40700, 0.005716
40800, 0.005427
40900, 0.005658
41000, 0.00655
41100, 0.006194
41200, 0.005709
41300, 0.006172
41400, 0.005967
41500, 0.005934
41600, 0.006198
41700, 0.006679
41800, 0.006254
41900, 0.005899
42000, 0.006065
42100, 0.005536
42200, 0.006421
42300, 0.006084
42400, 0.005916
42500, 0.006164
42600, 0.005597
42700, 0.007173
42800, 0.006532
42900, 0.006083
43000, 0.005565
43100, 0.006044
43200, 0.006361
43300, 0.005933
43400, 0.00593
43500, 0.006647
43600, 0.006493
43700, 0.006052
43800, 0.006803
43900, 0.00672
44000, 0.006837
44100, 0.007104
44200, 0.007007
44300, 0.006533
44400, 0.007211
44500, 0.006599
44600, 0.006464
44700, 0.00694
44800, 0.006224
44900, 0.006588
45000, 0.005711
45100, 0.006643
45200, 0.006258
45300, 0.006356
45400, 0.0069
45500, 0.006658
45600, 0.006824
45700, 0.006583
45800, 0.006645
45900, 0.006527
46000, 0.006217
46100, 0.006457
46200, 0.006961
46300, 0.006598
46400, 0.006656
46500, 0.006851
46600, 0.006979
46700, 0.006663
46800, 0.007061
46900, 0.00701
47000, 0.006035
47100, 0.00672
47200, 0.006421
47300, 0.007217
47400, 0.006975
47500, 0.007579
47600, 0.007683
47700, 0.006569
47800, 0.006622
47900, 0.006643
48000, 0.007063
48100, 0.007241
48200, 0.006827
48300, 0.007594
48400, 0.006611
48500, 0.006695
48600, 0.006319
48700, 0.006208
48800, 0.00684
48900, 0.006827
49000, 0.006979
49100, 0.006965
49200, 0.007179
49300, 0.006223
49400, 0.006471
49500, 0.006889
49600, 0.006818
49700, 0.006511
49800, 0.00699
49900, 0.006992
50000, 0.007353
50100, 0.007303
50200, 0.007797
50300, 0.006515
50400, 0.007366
50500, 0.00743
50600, 0.007514
50700, 0.006667
50800, 0.00775
50900, 0.00731
51000, 0.006396
51100, 0.007227
51200, 0.007812
51300, 0.007449
51400, 0.006793
51500, 0.008167
51600, 0.007247
51700, 0.007237
51800, 0.006733
51900, 0.00714
52000, 0.007503
52100, 0.007347
52200, 0.007953
52300, 0.00743
52400, 0.007686
52500, 0.006901
52600, 0.007765
52700, 0.007359
52800, 0.007951
52900, 0.008742
53000, 0.007335
53100, 0.007958
53200, 0.00738
53300, 0.007666
53400, 0.007117
53500, 0.007592
53600, 0.007029
53700, 0.007655
53800, 0.007593
53900, 0.007432
54000, 0.007589
54100, 0.007032
54200, 0.008379
54300, 0.006956
54400, 0.008095
54500, 0.007511
54600, 0.00784
54700, 0.007521
54800, 0.00785
54900, 0.008294
55000, 0.007949
55100, 0.007725
55200, 0.008685
55300, 0.007985
55400, 0.008098
55500, 0.008331
55600, 0.00899
55700, 0.008196
55800, 0.00844
55900, 0.008945
56000, 0.007874
56100, 0.008166
56200, 0.008619
56300, 0.007793
56400, 0.007718
56500, 0.00758
56600, 0.007379
56700, 0.008526
56800, 0.007995
56900, 0.007662
57000, 0.008706
57100, 0.008764
57200, 0.008512
57300, 0.008132
57400, 0.007122
57500, 0.00761
57600, 0.008758
57700, 0.008886
57800, 0.008387
57900, 0.008662
58000, 0.008942
58100, 0.009328
58200, 0.008702
58300, 0.008046
58400, 0.008734
58500, 0.008064
58600, 0.008445
58700, 0.008707
58800, 0.008824
58900, 0.007906
59000, 0.009235
59100, 0.00869
59200, 0.008113
59300, 0.00805
59400, 0.009027
59500, 0.009192
59600, 0.007919
59700, 0.008226
59800, 0.008793
59900, 0.009138
60000, 0.008665
60100, 0.008593
60200, 0.009279
60300, 0.007923
60400, 0.008043
60500, 0.00883
60600, 0.009324
60700, 0.008636
60800, 0.008592
60900, 0.008051
61000, 0.007974
61100, 0.008507
61200, 0.00845
61300, 0.009332
61400, 0.009012
61500, 0.008256
61600, 0.008476
61700, 0.008689
61800, 0.008103
61900, 0.00824
62000, 0.008934
62100, 0.008542
62200, 0.008145
62300, 0.00817
62400, 0.008873
62500, 0.008802
62600, 0.009071
62700, 0.008375
62800, 0.008611
62900, 0.009158
63000, 0.009312
63100, 0.009285
63200, 0.009903
63300, 0.008199
63400, 0.008713
63500, 0.008538
63600, 0.0095
63700, 0.008551
63800, 0.01002
63900, 0.00934
64000, 0.008338
64100, 0.008031
64200, 0.00907
64300, 0.008831
64400, 0.009382
64500, 0.009409
64600, 0.008743
64700, 0.009019
64800, 0.009627
64900, 0.009558
65000, 0.010327
65100, 0.010099
65200, 0.009774
65300, 0.009344
65400, 0.009816
65500, 0.010639
65600, 0.010074
65700, 0.009738
65800, 0.009859
65900, 0.008929
66000, 0.009156
66100, 0.009468
66200, 0.009077
66300, 0.009146
66400, 0.008706
66500, 0.010172
66600, 0.009405
66700, 0.009357
66800, 0.009644
66900, 0.0087
67000, 0.009285
67100, 0.009751
67200, 0.009045
67300, 0.010086
67400, 0.009628
67500, 0.009654
67600, 0.009888
67700, 0.010728
67800, 0.010561
67900, 0.009692
68000, 0.009795
68100, 0.010152
68200, 0.00886
68300, 0.010181
68400, 0.008722
68500, 0.009241
68600, 0.009976
68700, 0.009503
68800, 0.010063
68900, 0.01
69000, 0.009042
69100, 0.009144
69200, 0.009465
69300, 0.010841
69400, 0.009958
69500, 0.010569
69600, 0.010001
69700, 0.009842
69800, 0.009772
69900, 0.009731
70000, 0.009992
70100, 0.009783
70200, 0.010444
70300, 0.009424
70400, 0.009846
70500, 0.009674
70600, 0.010266
70700, 0.009656
70800, 0.010051
70900, 0.009539
71000, 0.009599
71100, 0.009995
71200, 0.010934
71300, 0.00977
71400, 0.010148
