Size of the array, Time taken
35600, 0.013788
35700, 0.010057
35800, 0.010901
35900, 0.012845
36000, 0.0116
36100, 0.010935
36200, 0.011785
36300, 0.012436
36400, 0.012771
36500, 0.012782
36600, 0.011139
36700, 0.01176
36800, 0.010463
36900, 0.011081
37000, 0.011972
37100, 0.011995
37200, 0.01241
37300, 0.015699
37400, 0.011573
37500, 0.011952
37600, 0.012227
37700, 0.013913
37800, 0.012865
37900, 0.012354
38000, 0.013392
38100, 0.015464
38200, 0.012811
38300, 0.013828
38400, 0.013409
38500, 0.014483
38600, 0.011501
38700, 0.011547
38800, 0.019128
38900, 0.011322
39000, 0.011106
39100, 0.012826
39200, 0.013821
39300, 0.014707
39400, 0.015001
39500, 0.013388
39600, 0.012591
39700, 0.014511
39800, 0.011972
39900, 0.011544
40000, 0.011773
40100, 0.01213
40200, 0.011298
40300, 0.011502
40400, 0.013145
40500, 0.012045
40600, 0.012687
40700, 0.016161
40800, 0.014117
40900, 0.01294
41000, 0.012472
41100, 0.014858
41200, 0.014476
41300, 0.0139
41400, 0.012719
41500, 0.012677
41600, 0.015084
41700, 0.012321
41800, 0.012685
41900, 0.012998
42000, 0.013754
42100, 0.012427
42200, 0.014674
42300, 0.012789
42400, 0.013859
42500, 0.015141
42600, 0.018612
42700, 0.012828
42800, 0.01326
42900, 0.013404
43000, 0.012368
43100, 0.013551
43200, 0.013106
43300, 0.022353
43400, 0.012108
43500, 0.01397
43600, 0.016189
43700, 0.015976
43800, 0.016185
43900, 0.018369
44000, 0.017341
44100, 0.015112
44200, 0.01533
44300, 0.014681
44400, 0.016648
44500, 0.017059
44600, 0.014799
44700, 0.016071
44800, 0.016044
44900, 0.018309
45000, 0.015532
45100, 0.016161
45200, 0.018166
45300, 0.015756
45400, 0.021387
45500, 0.01392
45600, 0.015535
45700, 0.015011
45800, 0.015742
45900, 0.013658
46000, 0.018343
46100, 0.013368
46200, 0.0148
46300, 0.015254
46400, 0.014044
46500, 0.017015
46600, 0.020456
46700, 0.022909
46800, 0.013733
46900, 0.023872
47000, 0.01565
47100, 0.01555
47200, 0.017944
47300, 0.016827
47400, 0.013656
47500, 0.015185
47600, 0.015045
47700, 0.016807
47800, 0.018051
47900, 0.01432
48000, 0.014057
48100, 0.013625
48200, 0.014568
48300, 0.016862
48400, 0.015777
48500, 0.018069
48600, 0.014934
48700, 0.017237
48800, 0.016501
48900, 0.015672
49000, 0.016146
49100, 0.014932
49200, 0.015702
49300, 0.014179
49400, 0.015344
49500, 0.014013
49600, 0.018987
49700, 0.017539
49800, 0.015269
49900, 0.022223
50000, 0.029856
50100, 0.017463
50200, 0.016099
50300, 0.016927
50400, 0.016073
50500, 0.01405
50600, 0.015562
50700, 0.015452
50800, 0.017875
50900, 0.018389
51000, 0.01501
51100, 0.018587
51200, 0.017674
51300, 0.030793
51400, 0.018252
51500, 0.017631
51600, 0.016981
51700, 0.015839
51800, 0.021416
51900, 0.020242
52000, 0.015649
52100, 0.016878
52200, 0.015853
52300, 0.01646
52400, 0.018959
52500, 0.019628
52600, 0.016697
52700, 0.015847
52800, 0.01812
52900, 0.016029
53000, 0.022618
53100, 0.015021
53200, 0.016345
53300, 0.01545
53400, 0.019211
53500, 0.020004
53600, 0.02531
53700, 0.015197
53800, 0.015879
53900, 0.016803
54000, 0.016689
54100, 0.017459
54200, 0.015793
54300, 0.015826
54400, 0.014739
54500, 0.015219
54600, 0.016017
54700, 0.019823
54800, 0.015826
54900, 0.01672
55000, 0.016074
55100, 0.01473
55200, 0.016644
55300, 0.017099
55400, 0.01886
55500, 0.015046
55600, 0.017086
55700, 0.015206
55800, 0.016468
55900, 0.016327
56000, 0.017208
56100, 0.017206
56200, 0.016239
56300, 0.017092
56400, 0.015908
56500, 0.016358
56600, 0.020271
56700, 0.015884
56800, 0.016498
56900, 0.015408
57000, 0.016607
57100, 0.01796
57200, 0.016814
57300, 0.017733
57400, 0.015905
57500, 0.016557
57600, 0.016117
57700, 0.01616
57800, 0.02114
57900, 0.01587
58000, 0.016353
58100, 0.01671
58200, 0.018052
58300, 0.017431
58400, 0.019033
58500, 0.016318
58600, 0.019485
58700, 0.016914
58800, 0.01613
58900, 0.021448
59000, 0.017606
59100, 0.01665
59200, 0.016875
59300, 0.016952
59400, 0.018593
59500, 0.022936
59600, 0.017685
59700, 0.016866
59800, 0.017187
59900, 0.016919
60000, 0.019482
60100, 0.018213
60200, 0.016994
60300, 0.016415
60400, 0.017579
60500, 0.017818
60600, 0.020353
60700, 0.017548
60800, 0.01856
60900, 0.017193
61000, 0.01769
61100, 0.021722
61200, 0.020786
61300, 0.016969
61400, 0.017545
61500, 0.017471
61600, 0.018037
61700, 0.018615
61800, 0.018065
61900, 0.017575
62000, 0.018154
62100, 0.018522
62200, 0.020658
62300, 0.024203
62400, 0.01762
62500, 0.017522
62600, 0.017528
62700, 0.018382
62800, 0.020342
62900, 0.017359
63000, 0.02031
63100, 0.023346
63200, 0.021163
63300, 0.026403
63400, 0.020387
63500, 0.020768
63600, 0.019312
63700, 0.024772
63800, 0.024475
63900, 0.019145
64000, 0.019862
64100, 0.019538
64200, 0.020351
64300, 0.025102
64400, 0.018827
64500, 0.017634
64600, 0.019456
64700, 0.021451
64800, 0.020685
64900, 0.020322
65000, 0.019696
65100, 0.018926
65200, 0.030108
65300, 0.021954
65400, 0.022878
65500, 0.018535
65600, 0.020447
65700, 0.019172
65800, 0.019867
65900, 0.019462
66000, 0.018902
66100, 0.021639
66200, 0.030627
66300, 0.019057
66400, 0.019363
66500, 0.020096
66600, 0.018748
66700, 0.017943
66800, 0.01958
66900, 0.019276
67000, 0.019579
67100, 0.021432
67200, 0.02396
67300, 0.020259
67400, 0.019712
67500, 0.020472
67600, 0.018646
67700, 0.019177
67800, 0.019597
67900, 0.020721
68000, 0.020348
68100, 0.019398
68200, 0.024101
68300, 0.020405
68400, 0.018805
68500, 0.019258
68600, 0.019773
68700, 0.018613
68800, 0.020417
68900, 0.02211
69000, 0.02236
69100, 0.022273
69200, 0.031984
69300, 0.021123
69400, 0.0223
69500, 0.020324
69600, 0.020333
69700, 0.02495
69800, 0.025316
69900, 0.022059
70000, 0.024402
70100, 0.02917
70200, 0.027816
70300, 0.022144
70400, 0.039429
70500, 0.036418
70600, 0.023628
70700, 0.020736
70800, 0.03102
70900, 0.022989
71000, 0.020165
71100, 0.020456
71200, 0.021266
71300, 0.019287
71400, 0.019089
71500, 0.023904
71600, 0.037868
71700, 0.035892
71800, 0.02516
71900, 0.021519
72000, 0.019824
72100, 0.01995
72200, 0.020587
72300, 0.021649
72400, 0.021143
72500, 0.026869
72600, 0.020927
72700, 0.022654
72800, 0.025665
72900, 0.020339
73000, 0.020794
73100, 0.020348
73200, 0.024603
73300, 0.021841
73400, 0.025493
73500, 0.022259
73600, 0.021608
73700, 0.022203
73800, 0.020446
73900, 0.019742
74000, 0.01994
74100, 0.021827
74200, 0.022784
74300, 0.026648
74400, 0.023524
74500, 0.021635
74600, 0.022473
74700, 0.020681
74800, 0.021072
74900, 0.0212
75000, 0.021404
75100, 0.021368
75200, 0.031603
75300, 0.02753
75400, 0.022373
75500, 0.021546
75600, 0.020437
75700, 0.0214
75800, 0.022341
75900, 0.020748
76000, 0.021805
76100, 0.027523
76200, 0.021863
76300, 0.022469
76400, 0.022351
76500, 0.021349
76600, 0.020048
76700, 0.021032
76800, 0.021456
76900, 0.020394
77000, 0.030193
77100, 0.023269
77200, 0.026135
77300, 0.022209
77400, 0.021395
77500, 0.023631
77600, 0.021214
77700, 0.023075
77800, 0.021639
77900, 0.029101
78000, 0.022955
78100, 0.02374
78200, 0.02286
78300, 0.023785
78400, 0.021384
78500, 0.022094
78600, 0.021618
78700, 0.024601
78800, 0.022954
78900, 0.02638
79000, 0.023101
79100, 0.021658
79200, 0.022118
79300, 0.022995
79400, 0.02569
79500, 0.022454
79600, 0.028938
79700, 0.022863
79800, 0.023765
79900, 0.022764
80000, 0.022702
80100, 0.022162
80200, 0.022546
80300, 0.022514
80400, 0.024008
80500, 0.024914
80600, 0.023391
80700, 0.025672
80800, 0.023318
80900, 0.022601
81000, 0.02234
81100, 0.022495
81200, 0.022367
81300, 0.026926
81400, 0.024311
81500, 0.025176
81600, 0.023423
81700, 0.023753
81800, 0.0233
81900, 0.024316
82000, 0.027748
82100, 0.027718
82200, 0.022212
82300, 0.022158
82400, 0.024483
82500, 0.023965
82600, 0.022915
82700, 0.022701
82800, 0.023528
82900, 0.023943
83000, 0.027765
83100, 0.025606
83200, 0.024642
83300, 0.02565
83400, 0.025033
83500, 0.022988
83600, 0.024144
83700, 0.023086
83800, 0.026822
83900, 0.023464
84000, 0.025142
84100, 0.023407
84200, 0.025525
84300, 0.023736
84400, 0.025697
84500, 0.02396
84600, 0.026658
84700, 0.025656
84800, 0.024477
84900, 0.02302
85000, 0.023594
85100, 0.0246
85200, 0.023855
85300, 0.02463
85400, 0.027072
85500, 0.029163
85600, 0.024262
85700, 0.02344
85800, 0.023745
85900, 0.023748
86000, 0.029052
86100, 0.024165
86200, 0.02649
86300, 0.026524
86400, 0.024274
86500, 0.026605
86600, 0.02375
86700, 0.025902
86800, 0.027107
86900, 0.026575
87000, 0.026679
87100, 0.026975
87200, 0.023941
87300, 0.024439
87400, 0.023708
87500, 0.025111
87600, 0.026224
87700, 0.02699
87800, 0.040635
87900, 0.030884
88000, 0.035236
88100, 0.024386
88200, 0.02731
88300, 0.026539
88400, 0.027442
88500, 0.048344
88600, 0.024513
88700, 0.025568
88800, 0.026271
88900, 0.026364
89000, 0.027468
89100, 0.029734
89200, 0.027247
89300, 0.026579
89400, 0.026246
89500, 0.027397
89600, 0.029898
89700, 0.036546
89800, 0.02586
89900, 0.035451
90000, 0.025098
90100, 0.025221
90200, 0.023988
90300, 0.025943
90400, 0.024503
90500, 0.026243
90600, 0.033195
90700, 0.025426
90800, 0.033837
90900, 0.033172
91000, 0.033247
91100, 0.032687
91200, 0.025558
91300, 0.02798
91400, 0.025704
91500, 0.030822
91600, 0.027989
91700, 0.025594
91800, 0.026638
91900, 0.025841
92000, 0.030399
92100, 0.027716
92200, 0.026835
92300, 0.02534
92400, 0.025996
92500, 0.026467
92600, 0.027479
92700, 0.025218
92800, 0.028882
92900, 0.032095
93000, 0.025818
93100, 0.028012
93200, 0.027175
93300, 0.025844
93400, 0.026537
93500, 0.02865
93600, 0.02927
93700, 0.027093
93800, 0.02717
93900, 0.027731
94000, 0.027799
94100, 0.025712
94200, 0.027294
94300, 0.025795
94400, 0.027597
94500, 0.026632
94600, 0.02975
94700, 0.030898
94800, 0.027746
94900, 0.026199
95000, 0.027183
95100, 0.025801
95200, 0.028206
95300, 0.026591
95400, 0.026955
95500, 0.026417
95600, 0.025983
95700, 0.028982
95800, 0.027929
95900, 0.027379
96000, 0.029217
96100, 0.027635
96200, 0.030262
96300, 0.027257
96400, 0.026728
96500, 0.029054
96600, 0.026387
96700, 0.027989
96800, 0.02812
96900, 0.028262
97000, 0.027881
97100, 0.028456
97200, 0.033914
97300, 0.027587
97400, 0.027458
97500, 0.027374
97600, 0.029249
97700, 0.027994
97800, 0.027479
97900, 0.034447
98000, 0.028792
98100, 0.027612
98200, 0.028713
98300, 0.028686
98400, 0.02761
98500, 0.027382
98600, 0.033447
98700, 0.028192
98800, 0.029282
98900, 0.027885
99000, 0.029845
99100, 0.027837
99200, 0.027996
99300, 0.036177
99400, 0.028826
99500, 0.028684
99600, 0.029642
99700, 0.028038
99800, 0.028112
99900, 0.029052
